1,4.0,[ 4.29003671 14.34325474],16,7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,5, 16
1,244.0,[ 7.4943239  12.26582894],16,7.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,1, 
2,66.0;310.0,[ 6.13799023 14.28460479];[9.76728336 2.30558138],16;2,7.0;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,7;1, 16
0,,,,,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,, 
4,74.0;230.0;244.0;560.0,[ 6.20654005 14.2005895 ];[ 8.02860065 14.18203911];[ 6.23507572 11.90066787];[ 3.86887358 13.67200889],16;17;11;15,7.5;7.5;8.0;7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,6;1;1;1, 16
4,230.0;302.0;336.0;574.0,[ 8.89174855 14.05665388];[ 4.19042942 14.14266049];[ 3.66541506 14.15128653];[ 6.79932985 16.05576789],17;16;15;21,7.0;7.5;8.5;8.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,1;5;1;1, 16
2,74.0;526.0,[ 6.19859156 14.19290227];[ 2.85838297 14.04199934],16;15,7.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,9;1, 16
0,,,,,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,, 
0,,,,,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,, 
2,40.0;276.0,[ 5.48905418 13.39865816];[10.40796017 14.40027809],16;17,8.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,10;1, 16
